分类: 💰央视付费频道, 名称: 高尔夫网球, 有效: 4, IPv4: 7, IPv6: 0, 最小延迟: 351 ms, 最高速率: 8.40 M/s, 平均速率: 4.94 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 电视指南, 有效: 1, IPv4: 4, IPv6: 0, 最小延迟: 334 ms, 最高速率: 2.30 M/s, 平均速率: 2.30 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 兵器科技, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 41 ms, 最高速率: 123.42 M/s, 平均速率: 53.04 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📡卫视频道, 名称: 广东卫视, 有效: 5, IPv4: 45, IPv6: 0, 最小延迟: 282 ms, 最高速率: 15.24 M/s, 平均速率: 6.28 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 10, IPv4: 42, IPv6: 0, 最小延迟: 325 ms, 最高速率: 8.12 M/s, 平均速率: 5.33 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 10, IPv4: 53, IPv6: 0, 最小延迟: 57 ms, 最高速率: 21.52 M/s, 平均速率: 8.89 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 北京卫视, 有效: 7, IPv4: 59, IPv6: 0, 最小延迟: 20 ms, 最高速率: 8.49 M/s, 平均速率: 6.63 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 5, IPv4: 49, IPv6: 0, 最小延迟: 364 ms, 最高速率: 8.70 M/s, 平均速率: 6.51 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 8, IPv4: 36, IPv6: 0, 最小延迟: 273 ms, 最高速率: 7.68 M/s, 平均速率: 4.14 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 9, IPv4: 45, IPv6: 0, 最小延迟: 407 ms, 最高速率: 8.51 M/s, 平均速率: 6.24 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 8, IPv4: 55, IPv6: 0, 最小延迟: 360 ms, 最高速率: 8.66 M/s, 平均速率: 5.37 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东方卫视, 有效: 8, IPv4: 47, IPv6: 0, 最小延迟: 516 ms, 最高速率: 8.78 M/s, 平均速率: 6.81 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 6, IPv4: 39, IPv6: 0, 最小延迟: 325 ms, 最高速率: 8.39 M/s, 平均速率: 6.29 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 3, IPv4: 23, IPv6: 0, 最小延迟: 313 ms, 最高速率: 5.78 M/s, 平均速率: 4.48 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 有效: 5, IPv4: 38, IPv6: 0, 最小延迟: 352 ms, 最高速率: 7.54 M/s, 平均速率: 4.92 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 8, IPv4: 40, IPv6: 0, 最小延迟: 47 ms, 最高速率: 113.21 M/s, 平均速率: 20.21 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 有效: 2, IPv4: 35, IPv6: 0, 最小延迟: 503 ms, 最高速率: 7.55 M/s, 平均速率: 6.65 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 6, IPv4: 41, IPv6: 0, 最小延迟: 517 ms, 最高速率: 8.83 M/s, 平均速率: 5.33 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河南卫视, 有效: 8, IPv4: 57, IPv6: 0, 最小延迟: 49 ms, 最高速率: 17.12 M/s, 平均速率: 8.76 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 6, IPv4: 45, IPv6: 0, 最小延迟: 494 ms, 最高速率: 7.58 M/s, 平均速率: 6.85 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 10, IPv4: 63, IPv6: 0, 最小延迟: 320 ms, 最高速率: 8.80 M/s, 平均速率: 6.47 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江西卫视, 有效: 8, IPv4: 51, IPv6: 0, 最小延迟: 101 ms, 最高速率: 58.52 M/s, 平均速率: 12.39 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 7, IPv4: 52, IPv6: 0, 最小延迟: 304 ms, 最高速率: 8.32 M/s, 平均速率: 4.94 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 8, IPv4: 33, IPv6: 0, 最小延迟: 48 ms, 最高速率: 118.89 M/s, 平均速率: 32.76 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 8, IPv4: 43, IPv6: 0, 最小延迟: 49 ms, 最高速率: 116.39 M/s, 平均速率: 37.55 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 青海卫视, 有效: 6, IPv4: 37, IPv6: 0, 最小延迟: 362 ms, 最高速率: 8.04 M/s, 平均速率: 6.36 M/s, 最高分辨率: 1920x1080
